instance_id,repo,difficulty,created_at,ps_len,patch_len,test_patch_len,n_files
psf__requests-6028,psf/requests,15 min - 1 hour,2022-01-04T15:32:52Z,1268,454,728,1
pydata__xarray-2905,pydata/xarray,15 min - 1 hour,2019-04-17T21:52:37Z,2135,529,1131,1
pydata__xarray-3095,pydata/xarray,15 min - 1 hour,2019-07-11T13:16:16Z,2811,4029,671,2
pydata__xarray-3151,pydata/xarray,15 min - 1 hour,2019-07-20T12:31:14Z,2326,1331,1254,1
pydata__xarray-3305,pydata/xarray,15 min - 1 hour,2019-09-12T19:27:14Z,2188,2945,1017,2
pydata__xarray-3677,pydata/xarray,15 min - 1 hour,2020-01-09T16:07:14Z,1456,422,728,1
pydata__xarray-3993,pydata/xarray,1-4 hours,2020-04-21T20:30:35Z,919,4058,1002,2
pydata__xarray-4075,pydata/xarray,<15 min fix,2020-05-18T18:42:05Z,2273,823,1258,1
pydata__xarray-4094,pydata/xarray,<15 min fix,2020-05-26T00:36:02Z,1604,517,784,1
pydata__xarray-4356,pydata/xarray,<15 min fix,2020-08-19T23:48:49Z,703,808,1975,1
pydata__xarray-4629,pydata/xarray,<15 min fix,2020-11-30T23:06:17Z,2659,471,709,1
pydata__xarray-4687,pydata/xarray,15 min - 1 hour,2020-12-13T20:42:40Z,3990,1539,1342,1
pydata__xarray-4695,pydata/xarray,15 min - 1 hour,2020-12-15T00:30:04Z,3514,559,801,1
pydata__xarray-4966,pydata/xarray,15 min - 1 hour,2021-02-26T12:05:51Z,4384,983,1433,1
pydata__xarray-6461,pydata/xarray,<15 min fix,2022-04-09T03:02:40Z,986,697,571,1
pydata__xarray-6599,pydata/xarray,15 min - 1 hour,2022-05-12T15:12:41Z,4310,779,628,1
pydata__xarray-6721,pydata/xarray,15 min - 1 hour,2022-06-24T18:45:45Z,9276,452,634,1
pydata__xarray-6744,pydata/xarray,15 min - 1 hour,2022-07-02T16:36:00Z,1547,1309,1464,1
pydata__xarray-6938,pydata/xarray,15 min - 1 hour,2022-08-20T16:45:22Z,2978,3179,664,2
pydata__xarray-6992,pydata/xarray,>4 hours,2022-09-05T15:07:43Z,1562,8857,6737,2
pydata__xarray-7229,pydata/xarray,15 min - 1 hour,2022-10-26T21:45:01Z,2824,2032,3090,1
pydata__xarray-7233,pydata/xarray,15 min - 1 hour,2022-10-27T23:46:49Z,1816,605,5912,1
pydata__xarray-7393,pydata/xarray,15 min - 1 hour,2022-12-20T04:34:24Z,2362,603,631,1
pylint-dev__pylint-4551,pylint-dev/pylint,1-4 hours,2021-06-07T15:14:31Z,777,6862,3506,4
pylint-dev__pylint-4604,pylint-dev/pylint,15 min - 1 hour,2021-06-22T10:44:14Z,685,1098,1233,2
pylint-dev__pylint-4661,pylint-dev/pylint,15 min - 1 hour,2021-07-03T00:57:06Z,995,1835,633,2
pylint-dev__pylint-4970,pylint-dev/pylint,<15 min fix,2021-09-05T19:44:07Z,618,520,694,1
pylint-dev__pylint-6386,pylint-dev/pylint,15 min - 1 hour,2022-04-19T06:34:57Z,739,3027,662,4
pylint-dev__pylint-6528,pylint-dev/pylint,15 min - 1 hour,2022-05-06T21:03:37Z,2359,3095,5953,2
pylint-dev__pylint-6903,pylint-dev/pylint,<15 min fix,2022-06-09T19:43:36Z,2662,558,2066,1
pylint-dev__pylint-7080,pylint-dev/pylint,15 min - 1 hour,2022-06-28T17:24:43Z,24770,417,1267,1
pylint-dev__pylint-7277,pylint-dev/pylint,<15 min fix,2022-08-08T23:07:49Z,1087,703,992,1
pylint-dev__pylint-8898,pylint-dev/pylint,1-4 hours,2023-07-29T21:53:59Z,3455,2614,2224,3
pytest-dev__pytest-10051,pytest-dev/pytest,15 min - 1 hour,2022-06-15T17:39:53Z,1371,1119,1310,1
pytest-dev__pytest-10081,pytest-dev/pytest,<15 min fix,2022-06-26T13:53:24Z,2905,908,2690,1
pytest-dev__pytest-10356,pytest-dev/pytest,1-4 hours,2022-10-08T06:20:42Z,5278,2091,763,1
pytest-dev__pytest-5262,pytest-dev/pytest,<15 min fix,2019-05-14T21:54:55Z,4789,437,418,1
pytest-dev__pytest-5631,pytest-dev/pytest,15 min - 1 hour,2019-07-19T20:13:12Z,2306,1016,1488,1
pytest-dev__pytest-5787,pytest-dev/pytest,1-4 hours,2019-08-26T16:43:31Z,3907,9824,26578,1
pytest-dev__pytest-5809,pytest-dev/pytest,<15 min fix,2019-09-01T04:40:09Z,971,657,571,1
pytest-dev__pytest-5840,pytest-dev/pytest,15 min - 1 hour,2019-09-12T01:09:28Z,625,3526,3242,2
pytest-dev__pytest-6197,pytest-dev/pytest,1-4 hours,2019-11-15T16:37:22Z,2749,1868,1677,1
pytest-dev__pytest-6202,pytest-dev/pytest,<15 min fix,2019-11-16T07:45:21Z,2157,432,1438,1
pytest-dev__pytest-7205,pytest-dev/pytest,<15 min fix,2020-05-09T11:25:58Z,4267,572,1868,1
pytest-dev__pytest-7236,pytest-dev/pytest,15 min - 1 hour,2020-05-21T19:53:14Z,2692,1686,1252,1
pytest-dev__pytest-7324,pytest-dev/pytest,15 min - 1 hour,2020-06-05T13:00:07Z,469,1245,367,1
pytest-dev__pytest-7432,pytest-dev/pytest,<15 min fix,2020-06-29T21:51:15Z,773,456,1137,1
pytest-dev__pytest-7490,pytest-dev/pytest,15 min - 1 hour,2020-07-13T22:20:10Z,22778,1711,1453,1
pytest-dev__pytest-7521,pytest-dev/pytest,<15 min fix,2020-07-20T15:55:11Z,3893,446,543,1
pytest-dev__pytest-7571,pytest-dev/pytest,15 min - 1 hour,2020-07-29T12:00:47Z,459,1307,1826,1
pytest-dev__pytest-7982,pytest-dev/pytest,<15 min fix,2020-10-31T12:27:03Z,451,441,944,1
pytest-dev__pytest-8399,pytest-dev/pytest,15 min - 1 hour,2021-03-04T17:52:17Z,1083,2450,2350,2
scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,15 min - 1 hour,2017-12-12T22:07:47Z,1519,3739,2176,1
scikit-learn__scikit-learn-10844,scikit-learn/scikit-learn,15 min - 1 hour,2018-03-21T00:16:18Z,2399,892,1089,1
scikit-learn__scikit-learn-10908,scikit-learn/scikit-learn,15 min - 1 hour,2018-04-03T03:50:46Z,2035,525,1677,1
scikit-learn__scikit-learn-11310,scikit-learn/scikit-learn,<15 min fix,2018-06-18T12:10:19Z,1212,1844,1007,1
scikit-learn__scikit-learn-11578,scikit-learn/scikit-learn,15 min - 1 hour,2018-07-16T23:21:56Z,7387,575,2805,1
scikit-learn__scikit-learn-12585,scikit-learn/scikit-learn,<15 min fix,2018-11-14T13:20:30Z,1422,519,604,1
scikit-learn__scikit-learn-12682,scikit-learn/scikit-learn,15 min - 1 hour,2018-11-27T08:30:51Z,518,13568,2390,2
scikit-learn__scikit-learn-12973,scikit-learn/scikit-learn,15 min - 1 hour,2019-01-13T16:19:52Z,1575,1465,1734,1
scikit-learn__scikit-learn-13124,scikit-learn/scikit-learn,15 min - 1 hour,2019-02-09T02:15:23Z,5567,1078,1043,1
scikit-learn__scikit-learn-13135,scikit-learn/scikit-learn,<15 min fix,2019-02-11T21:34:25Z,5280,674,1612,1
scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,<15 min fix,2019-02-12T14:32:37Z,2314,1155,1685,1
scikit-learn__scikit-learn-13328,scikit-learn/scikit-learn,<15 min fix,2019-02-28T12:47:52Z,4704,603,2908,1
scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,<15 min fix,2019-03-12T20:32:50Z,1234,502,394,1
scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,<15 min fix,2019-03-23T09:46:59Z,1371,1285,1151,1
scikit-learn__scikit-learn-13779,scikit-learn/scikit-learn,<15 min fix,2019-05-03T13:24:57Z,589,563,1784,1
scikit-learn__scikit-learn-14053,scikit-learn/scikit-learn,15 min - 1 hour,2019-06-09T15:36:55Z,3098,558,961,1
scikit-learn__scikit-learn-14087,scikit-learn/scikit-learn,15 min - 1 hour,2019-06-13T20:09:22Z,2320,1392,1386,1
scikit-learn__scikit-learn-14141,scikit-learn/scikit-learn,<15 min fix,2019-06-21T20:53:37Z,158,314,426,1
scikit-learn__scikit-learn-14496,scikit-learn/scikit-learn,<15 min fix,2019-07-28T13:47:05Z,2290,3809,763,1
scikit-learn__scikit-learn-14629,scikit-learn/scikit-learn,15 min - 1 hour,2019-08-12T09:31:54Z,1814,1658,1099,1
scikit-learn__scikit-learn-14710,scikit-learn/scikit-learn,15 min - 1 hour,2019-08-21T16:29:47Z,6629,927,943,1
scikit-learn__scikit-learn-14894,scikit-learn/scikit-learn,15 min - 1 hour,2019-09-05T17:41:11Z,1716,1050,887,1
scikit-learn__scikit-learn-14983,scikit-learn/scikit-learn,<15 min fix,2019-09-14T15:31:18Z,1297,927,873,1
scikit-learn__scikit-learn-15100,scikit-learn/scikit-learn,15 min - 1 hour,2019-09-26T19:21:38Z,2134,808,858,1
scikit-learn__scikit-learn-25102,scikit-learn/scikit-learn,1-4 hours,2022-12-02T20:03:37Z,2534,3888,4254,2
scikit-learn__scikit-learn-25232,scikit-learn/scikit-learn,<15 min fix,2022-12-24T15:32:44Z,1448,2301,1004,1
scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,15 min - 1 hour,2023-03-02T20:38:47Z,6147,746,1656,1
scikit-learn__scikit-learn-25931,scikit-learn/scikit-learn,15 min - 1 hour,2023-03-22T00:34:47Z,2860,1701,912,1
scikit-learn__scikit-learn-25973,scikit-learn/scikit-learn,<15 min fix,2023-03-25T13:27:07Z,1968,2410,1543,1
scikit-learn__scikit-learn-26194,scikit-learn/scikit-learn,15 min - 1 hour,2023-04-17T16:33:08Z,1137,1850,1698,1
scikit-learn__scikit-learn-26323,scikit-learn/scikit-learn,15 min - 1 hour,2023-05-04T11:55:50Z,2812,771,1362,1
scikit-learn__scikit-learn-9288,scikit-learn/scikit-learn,15 min - 1 hour,2017-07-06T11:03:14Z,3366,1694,706,1
sphinx-doc__sphinx-10323,sphinx-doc/sphinx,<15 min fix,2022-04-02T14:42:24Z,3102,728,965,1
sphinx-doc__sphinx-10435,sphinx-doc/sphinx,<15 min fix,2022-05-08T09:37:06Z,2182,886,642,1
sphinx-doc__sphinx-10449,sphinx-doc/sphinx,<15 min fix,2022-05-14T14:02:26Z,4478,1798,509,1
sphinx-doc__sphinx-10466,sphinx-doc/sphinx,15 min - 1 hour,2022-05-22T16:46:53Z,3137,685,1175,1
sphinx-doc__sphinx-10614,sphinx-doc/sphinx,15 min - 1 hour,2022-06-29T14:29:04Z,3078,1276,8127,1
sphinx-doc__sphinx-10673,sphinx-doc/sphinx,15 min - 1 hour,2022-07-16T19:29:29Z,1333,5462,1789,3
sphinx-doc__sphinx-11445,sphinx-doc/sphinx,15 min - 1 hour,2023-05-28T19:15:07Z,1791,1508,3209,1
sphinx-doc__sphinx-11510,sphinx-doc/sphinx,1-4 hours,2023-07-24T22:46:12Z,5362,2867,2747,1
sphinx-doc__sphinx-7440,sphinx-doc/sphinx,<15 min fix,2020-04-08T13:46:43Z,905,990,2012,1
sphinx-doc__sphinx-7454,sphinx-doc/sphinx,<15 min fix,2020-04-09T17:08:30Z,2677,697,1003,1
sphinx-doc__sphinx-7462,sphinx-doc/sphinx,<15 min fix,2020-04-12T04:10:05Z,1169,1684,1235,2
sphinx-doc__sphinx-7590,sphinx-doc/sphinx,>4 hours,2020-05-01T18:29:11Z,600,10055,3463,3
sphinx-doc__sphinx-7748,sphinx-doc/sphinx,15 min - 1 hour,2020-05-30T06:41:07Z,381,5740,1811,1
sphinx-doc__sphinx-7757,sphinx-doc/sphinx,15 min - 1 hour,2020-05-30T14:46:01Z,652,1738,1060,1
sphinx-doc__sphinx-7889,sphinx-doc/sphinx,<15 min fix,2020-06-29T16:20:55Z,1166,679,963,1
sphinx-doc__sphinx-7910,sphinx-doc/sphinx,<15 min fix,2020-07-04T01:08:20Z,1139,861,2586,1
sphinx-doc__sphinx-7985,sphinx-doc/sphinx,15 min - 1 hour,2020-07-19T10:09:07Z,1776,1472,2588,1
sphinx-doc__sphinx-8035,sphinx-doc/sphinx,15 min - 1 hour,2020-08-01T16:28:05Z,725,4802,927,1
sphinx-doc__sphinx-8056,sphinx-doc/sphinx,15 min - 1 hour,2020-08-05T17:18:58Z,1565,1878,1620,1
sphinx-doc__sphinx-8120,sphinx-doc/sphinx,15 min - 1 hour,2020-08-14T07:23:34Z,1855,1740,1645,2
sphinx-doc__sphinx-8265,sphinx-doc/sphinx,15 min - 1 hour,2020-10-03T03:06:00Z,1725,1560,538,1
sphinx-doc__sphinx-8269,sphinx-doc/sphinx,<15 min fix,2020-10-03T11:08:37Z,1187,594,2482,1
sphinx-doc__sphinx-8459,sphinx-doc/sphinx,<15 min fix,2020-11-20T16:44:10Z,1335,733,1289,1
sphinx-doc__sphinx-8475,sphinx-doc/sphinx,<15 min fix,2020-11-22T16:54:19Z,766,994,1277,1
sphinx-doc__sphinx-8548,sphinx-doc/sphinx,1-4 hours,2020-12-17T13:46:32Z,358,3907,2430,2
sphinx-doc__sphinx-8551,sphinx-doc/sphinx,15 min - 1 hour,2020-12-19T09:34:31Z,1874,1205,2432,2
sphinx-doc__sphinx-8593,sphinx-doc/sphinx,15 min - 1 hour,2020-12-27T02:41:20Z,638,4830,2331,2
sphinx-doc__sphinx-8595,sphinx-doc/sphinx,<15 min fix,2020-12-27T03:07:50Z,676,625,1328,1
sphinx-doc__sphinx-8621,sphinx-doc/sphinx,<15 min fix,2020-12-30T12:13:09Z,2035,501,1118,1
sphinx-doc__sphinx-8638,sphinx-doc/sphinx,15 min - 1 hour,2021-01-01T13:54:38Z,2924,653,1318,1
sphinx-doc__sphinx-8721,sphinx-doc/sphinx,<15 min fix,2021-01-21T15:36:24Z,562,573,902,1
sphinx-doc__sphinx-9229,sphinx-doc/sphinx,1-4 hours,2021-05-15T07:21:49Z,3824,1666,922,1
sphinx-doc__sphinx-9230,sphinx-doc/sphinx,<15 min fix,2021-05-15T11:33:05Z,1237,533,2518,1
sphinx-doc__sphinx-9258,sphinx-doc/sphinx,<15 min fix,2021-05-21T16:56:41Z,516,668,2072,1
sphinx-doc__sphinx-9281,sphinx-doc/sphinx,<15 min fix,2021-05-29T17:16:30Z,809,1248,560,1
sphinx-doc__sphinx-9320,sphinx-doc/sphinx,<15 min fix,2021-06-11T13:29:04Z,1117,736,838,1
sphinx-doc__sphinx-9367,sphinx-doc/sphinx,<15 min fix,2021-06-20T17:49:40Z,511,759,641,1
sphinx-doc__sphinx-9461,sphinx-doc/sphinx,1-4 hours,2021-07-17T06:31:58Z,2294,4777,4844,3
sphinx-doc__sphinx-9591,sphinx-doc/sphinx,<15 min fix,2021-08-29T15:26:24Z,1977,540,1514,1
sphinx-doc__sphinx-9602,sphinx-doc/sphinx,15 min - 1 hour,2021-09-01T17:26:58Z,1373,1732,1365,1
sphinx-doc__sphinx-9658,sphinx-doc/sphinx,15 min - 1 hour,2021-09-20T17:04:23Z,2690,1042,1005,1
sphinx-doc__sphinx-9673,sphinx-doc/sphinx,15 min - 1 hour,2021-09-25T15:53:46Z,1413,817,1087,1
sphinx-doc__sphinx-9698,sphinx-doc/sphinx,<15 min fix,2021-10-03T04:04:04Z,817,638,666,1
sphinx-doc__sphinx-9711,sphinx-doc/sphinx,<15 min fix,2021-10-06T15:08:03Z,1571,1284,1191,1
sympy__sympy-11618,sympy/sympy,15 min - 1 hour,2016-09-15T20:01:58Z,252,925,430,1
sympy__sympy-12096,sympy/sympy,<15 min fix,2017-01-25T13:40:24Z,598,505,557,1
sympy__sympy-12419,sympy/sympy,15 min - 1 hour,2017-03-25T15:02:26Z,1141,1327,1010,1
sympy__sympy-12481,sympy/sympy,<15 min fix,2017-04-03T01:52:33Z,407,760,1120,1
sympy__sympy-12489,sympy/sympy,1-4 hours,2017-04-04T08:12:37Z,1214,9648,2074,1
sympy__sympy-13031,sympy/sympy,15 min - 1 hour,2017-07-23T15:48:13Z,717,1047,703,1
sympy__sympy-13091,sympy/sympy,15 min - 1 hour,2017-08-05T08:04:32Z,1823,17385,4276,21
sympy__sympy-13372,sympy/sympy,<15 min fix,2017-09-30T16:05:48Z,1183,736,451,1
sympy__sympy-13480,sympy/sympy,<15 min fix,2017-10-18T17:27:03Z,430,556,457,1
sympy__sympy-13551,sympy/sympy,15 min - 1 hour,2017-10-29T20:51:01Z,499,680,601,1
sympy__sympy-13615,sympy/sympy,15 min - 1 hour,2017-11-17T08:59:51Z,201,871,553,1
sympy__sympy-13647,sympy/sympy,15 min - 1 hour,2017-11-28T21:22:51Z,1088,495,845,1
sympy__sympy-13757,sympy/sympy,15 min - 1 hour,2017-12-17T11:08:44Z,421,360,1055,1
sympy__sympy-13798,sympy/sympy,15 min - 1 hour,2017-12-26T18:12:43Z,861,1343,545,1
sympy__sympy-13852,sympy/sympy,1-4 hours,2018-01-06T23:54:51Z,1892,2593,1925,1
sympy__sympy-13877,sympy/sympy,15 min - 1 hour,2018-01-10T01:55:34Z,4361,3483,595,2
sympy__sympy-13878,sympy/sympy,>4 hours,2018-01-10T07:00:58Z,3106,14547,8763,1
sympy__sympy-13974,sympy/sympy,15 min - 1 hour,2018-01-20T18:25:59Z,1044,3590,995,1
sympy__sympy-14248,sympy/sympy,1-4 hours,2018-02-17T10:38:44Z,583,3801,4449,3
sympy__sympy-14531,sympy/sympy,15 min - 1 hour,2018-03-18T18:15:33Z,668,5583,1753,1
sympy__sympy-14711,sympy/sympy,<15 min fix,2018-05-12T17:00:20Z,1070,403,400,1
sympy__sympy-14976,sympy/sympy,15 min - 1 hour,2018-07-25T17:38:07Z,680,585,1587,1
sympy__sympy-15017,sympy/sympy,<15 min fix,2018-08-03T03:15:04Z,1010,566,1041,1
sympy__sympy-15345,sympy/sympy,<15 min fix,2018-10-05T06:00:31Z,269,808,785,1
sympy__sympy-15349,sympy/sympy,15 min - 1 hour,2018-10-06T19:45:27Z,725,441,1978,1
sympy__sympy-15599,sympy/sympy,15 min - 1 hour,2018-12-06T17:45:49Z,1828,1507,545,1
sympy__sympy-15809,sympy/sympy,<15 min fix,2019-01-20T06:08:26Z,350,498,826,1
sympy__sympy-15875,sympy/sympy,<15 min fix,2019-01-29T03:18:51Z,563,396,531,1
sympy__sympy-15976,sympy/sympy,15 min - 1 hour,2019-02-13T15:02:37Z,1053,2040,8407,1
sympy__sympy-16450,sympy/sympy,<15 min fix,2019-03-26T18:00:02Z,1610,511,743,1
sympy__sympy-16597,sympy/sympy,1-4 hours,2019-04-08T12:49:10Z,611,10210,5072,6
sympy__sympy-16766,sympy/sympy,<15 min fix,2019-05-01T22:02:17Z,599,583,847,1
sympy__sympy-16792,sympy/sympy,15 min - 1 hour,2019-05-09T03:40:54Z,1930,1793,980,1
sympy__sympy-16886,sympy/sympy,<15 min fix,2019-05-25T05:55:25Z,185,428,567,1
sympy__sympy-17139,sympy/sympy,<15 min fix,2019-07-01T19:17:18Z,1916,410,1016,1
sympy__sympy-17318,sympy/sympy,15 min - 1 hour,2019-08-01T11:55:36Z,2310,1427,1004,2
sympy__sympy-17630,sympy/sympy,1-4 hours,2019-09-18T22:56:31Z,3430,589,2263,1
sympy__sympy-17655,sympy/sympy,<15 min fix,2019-09-25T17:04:26Z,1958,505,1187,1
sympy__sympy-18189,sympy/sympy,<15 min fix,2019-12-31T15:45:24Z,678,621,1027,1
sympy__sympy-18199,sympy/sympy,1-4 hours,2020-01-01T19:08:59Z,300,2838,2468,1
sympy__sympy-18211,sympy/sympy,15 min - 1 hour,2020-01-03T06:39:19Z,832,933,1319,1
sympy__sympy-18698,sympy/sympy,15 min - 1 hour,2020-02-21T05:46:56Z,458,1126,820,1
sympy__sympy-18763,sympy/sympy,<15 min fix,2020-03-03T03:40:06Z,567,588,575,1
sympy__sympy-19040,sympy/sympy,15 min - 1 hour,2020-03-31T19:53:54Z,1885,378,799,1
sympy__sympy-19346,sympy/sympy,15 min - 1 hour,2020-05-17T12:23:33Z,480,741,1163,1
sympy__sympy-19495,sympy/sympy,<15 min fix,2020-06-05T11:53:09Z,1436,2106,1351,1
sympy__sympy-19637,sympy/sympy,<15 min fix,2020-06-24T13:08:57Z,221,421,407,1
sympy__sympy-19783,sympy/sympy,15 min - 1 hour,2020-07-16T09:40:38Z,422,1218,1456,2
sympy__sympy-19954,sympy/sympy,<15 min fix,2020-08-12T06:07:32Z,921,1523,549,1
sympy__sympy-20154,sympy/sympy,15 min - 1 hour,2020-09-26T22:49:04Z,552,1559,1936,1
sympy__sympy-20428,sympy/sympy,15 min - 1 hour,2020-11-14T05:56:31Z,3710,418,1257,1
sympy__sympy-20438,sympy/sympy,15 min - 1 hour,2020-11-17T08:24:33Z,1269,2873,1164,3
sympy__sympy-20590,sympy/sympy,15 min - 1 hour,2020-12-12T18:18:38Z,758,611,460,1
sympy__sympy-20801,sympy/sympy,15 min - 1 hour,2021-01-15T02:01:23Z,509,731,827,1
sympy__sympy-20916,sympy/sympy,<15 min fix,2021-02-06T05:44:34Z,143,744,1857,1
sympy__sympy-21379,sympy/sympy,15 min - 1 hour,2021-04-24T19:49:52Z,1781,1007,776,1
sympy__sympy-21596,sympy/sympy,15 min - 1 hour,2021-06-10T15:35:08Z,568,2659,2120,1
sympy__sympy-21612,sympy/sympy,15 min - 1 hour,2021-06-14T04:31:24Z,681,541,514,1
sympy__sympy-21847,sympy/sympy,<15 min fix,2021-08-10T17:41:59Z,1061,1015,1733,1
sympy__sympy-21930,sympy/sympy,15 min - 1 hour,2021-08-22T20:29:08Z,707,1007,2547,1
sympy__sympy-22080,sympy/sympy,15 min - 1 hour,2021-09-12T07:11:33Z,645,1617,2056,2
sympy__sympy-22456,sympy/sympy,15 min - 1 hour,2021-11-10T12:24:42Z,302,1400,372,1
sympy__sympy-22714,sympy/sympy,<15 min fix,2021-12-19T18:54:36Z,1660,669,716,1
sympy__sympy-22914,sympy/sympy,15 min - 1 hour,2022-01-25T10:37:44Z,628,277,949,1
sympy__sympy-23262,sympy/sympy,15 min - 1 hour,2022-03-21T07:17:35Z,1033,649,453,1
sympy__sympy-23413,sympy/sympy,15 min - 1 hour,2022-04-23T23:40:41Z,353,1296,1074,1
sympy__sympy-23534,sympy/sympy,<15 min fix,2022-05-22T00:12:33Z,727,365,745,1
sympy__sympy-23824,sympy/sympy,15 min - 1 hour,2022-07-23T22:13:36Z,2103,632,785,1
sympy__sympy-23950,sympy/sympy,15 min - 1 hour,2022-08-20T18:21:10Z,766,293,748,1
sympy__sympy-24066,sympy/sympy,15 min - 1 hour,2022-09-16T22:58:15Z,605,883,1185,1
sympy__sympy-24213,sympy/sympy,15 min - 1 hour,2022-11-03T14:00:09Z,1023,655,1027,1
sympy__sympy-24443,sympy/sympy,15 min - 1 hour,2022-12-30T14:43:19Z,687,2511,501,1
sympy__sympy-24539,sympy/sympy,<15 min fix,2023-01-17T17:26:42Z,659,779,544,1
sympy__sympy-24562,sympy/sympy,<15 min fix,2023-01-21T12:06:36Z,222,745,532,1
sympy__sympy-24661,sympy/sympy,15 min - 1 hour,2023-02-05T19:15:22Z,351,1183,1176,1
